EPOCH_LENGTH,EPOCHS_A_YEAR,BLOCK_TIME_TARGET,ONLINE_THRESHOLD_MIN,ONLINE_THRESHOLD_MAX,BLOCK_PRODUCER_KICKOUT_THRESHOLD,CHUNK_PRODUCER_KICKOUT_THRESHOLD,epoch_id,total_supply,block_height,timestamp,prev_epoch_last_block,total_staked
43200,730.0,1,0.9,0.99,90,90,5w7rNnceQmEsfFP5HFPWDGaVTNhhmtzpj6GxH2f86jza,1111359761860879892486778246494451,80550998,1670927251648191063,Hd4jjSEujjUz9qFmyh5hVJfg52ZT1KnNt4F11gCbdHgX,476161189484027074775598364934409
43200,730.0,1,0.9,0.99,90,90,5w7rNnceQmEsfFP5HFPWDGaVTNhhmtzpj6GxH2f86jza,1111359682277339304135979541458494,80559974,1670937859932722196,Hd4jjSEujjUz9qFmyh5hVJfg52ZT1KnNt4F11gCbdHgX,476161189484027074775598364934409
43200,730.0,1,0.9,0.99,90,90,5w7rNnceQmEsfFP5HFPWDGaVTNhhmtzpj6GxH2f86jza,1111359499307511007805789341458494,80578366,1670959673873201884,Hd4jjSEujjUz9qFmyh5hVJfg52ZT1KnNt4F11gCbdHgX,476161189484027074775598364934409
43200,730.0,1,0.9,0.99,90,90,Hd4jjSEujjUz9qFmyh5hVJfg52ZT1KnNt4F11gCbdHgX,1111448750899534204674158350959116,80602580,1670987715634140404,EFwXgcHdUPvY8E3oMPuREd4DyrLxKS5hua6k8twXtT6A,465352400970472615378016776267599
43200,730.0,1,0.9,0.99,90,90,EFwXgcHdUPvY8E3oMPuREd4DyrLxKS5hua6k8twXtT6A,1111536515261114406906388719518956,80626150,1671015001300323470,Em9iLhZxtz2ywwdZrvF1cXthKM8dVJ9C5hWNXahiAMUb,465577248044417350211620893593019
